nct_id,source,condition,pmid,doi,title,publication_year,is_rct
NCT02495324,pubmed,hypertension,32158190,10.2147/DDDT.S231293,"Effect of Fimasartan versus Valsartan and Olmesartan on Office and Ambulatory Blood Pressure in Korean Patients with Mild-to-Moderate Essential Hypertension: A Randomized, Double-Blind, Active Control",2020,True
NCT02290613,pubmed,hypertension,31655622,10.1186/s13075-019-1981-0,"Early treatment with ambrisentan of mildly elevated mean pulmonary arterial pressure associated with systemic sclerosis: a randomized, controlled, double-blind, parallel group study (EDITA study).",2019,True
NCT02321618,pubmed,hypertension,30592662,10.1161/CIRCULATIONAHA.118.038165,Sustainability of Blood Pressure Reduction in Black Barbershops.,2019,True
NCT01643434,crossref,hypertension,,10.1002/clc.22228,Resistant Hypertension Optimal Treatment Trial: A Randomized Controlled Trial,2014,True
NCT01777503,pubmed,myocardial infarction,30636561,10.1161/JAHA.118.010956,Time Course of Ischemic and Bleeding Burden in Elderly Patients With Acute Coronary Syndromes Randomized to Low-Dose Prasugrel or Clopidogrel.,2019,True
NCT02942550,pubmed,myocardial infarction,30636504,10.1161/JAHA.118.010152,The MOVEMENT Trial.,2019,True
NCT01560455,pubmed,myocardial infarction,27578839,10.1161/CIRCINTERVENTIONS.115.003643,The EBC TWO Study (European Bifurcation Coronary TWO): A Randomized Comparison of Provisional T-Stenting Versus a Systematic 2 Stent Culotte Strategy in Large Caliber True Bifurcations.,2016,True
NCT00598533,pubmed,myocardial infarction,27377301,10.1002/ccd.26597,Five-year follow-up of polymer-free sirolimus- and probucol-eluting stents versus new generation zotarolimus-eluting stents in patients presenting with st-elevation myocardial infarction.,2017,True
NCT00519597,pubmed,myocardial infarction,26914592,10.1164/rccm.201601-0088OC,Effect of Positive Airway Pressure on Cardiovascular Outcomes in Coronary Artery Disease Patients with Nonsleepy Obstructive Sleep Apnea. The RICCADSA Randomized Controlled Trial.,2016,True
NCT01622075,pubmed,myocardial infarction,26775079,10.1002/ccd.26401,"Two-year results and subgroup analyses of the PEPCAD China in-stent restenosis trial: A prospective, multicenter, randomized trial for the treatment of drug-eluting stent in-stent restenosis.",2016,True
NCT00732953,pubmed,myocardial infarction,26479969,10.1097/MCA.0000000000000314,Paclitaxel-coated balloon plus bare-metal stent for de-novo coronary artery disease: final 5-year results of a randomized prospective multicenter trial.,2016,True
NCT00673036,pubmed,myocardial infarction,26301654,10.1016/j.ijcard.2015.08.065,In-hospital outcomes and long-term mortality according to sex and management strategy in acute myocardial infarction. Insights from the French ST-elevation and non-ST-elevation Myocardial Infarction (,2015,True
NCT00389220,pubmed,myocardial infarction,25423953,10.1136/heartjnl-2014-306359,Biolimus-eluting stent with biodegradable polymer improves clinical outcomes in patients with acute myocardial infarction.,2015,True
NCT04841980,pubmed,depression,41098003,10.1111/apt.70420,Clinical Trial: Rifaximin Versus Low FODMAP Diet in Irritable Bowel Syndrome.,2026,True
NCT01824940,pubmed,depression,39392862,10.1371/journal.pmed.1004347,"Growth, physical, and cognitive function in children who are born HIV-free: School-age follow-up of a cluster-randomised trial in rural Zimbabwe.",2024,True
NCT04361045,pubmed,depression,37768633,10.1037/ccp0000843,Randomized controlled trial of a web-based program for preventing anxiety and depression in university students.,2024,True
NCT01799733,pubmed,depression,36520251,10.1007/s00737-022-01283-z,A 1-week sleep and light intervention improves mood in premenstrual dysphoric disorder in association with shifting melatonin offset time earlier.,2023,True
NCT00088699,pubmed,depression,33074143,10.1016/j.jad.2020.10.007,Ketamine Alters Electrophysiological Responses to Emotional Faces in Major Depressive Disorder.,2021,True
NCT01731717,pubmed,depression,32859177,10.1186/s12888-020-02829-0,Cost-effectiveness of guideline-based stepped and collaborative care versus treatment as usual for patients with depression - a cluster-randomized trial.,2020,True
NCT03841682,pubmed,depression,32621905,10.1016/j.cct.2020.106072,The ENGAGE-2 study: Engaging self-regulation targets to understand the mechanisms of behavior change and improve mood and weight outcomes in a randomized controlled trial (Phase 2).,2020,True
NCT01630681,pubmed,depression,32224483,10.2196/16547,Experiences of Internet-Based Stepped Care in Individuals With Cancer and Concurrent Symptoms of Anxiety and Depression: Qualitative Exploration Conducted Alongside the U-CARE AdultCan Randomized Cont,2020,True
NCT02976103,pubmed,depression,31612292,10.1007/s10549-019-05465-9,The Jacki Jacket after mastectomy with reconstruction: a randomized pilot study.,2020,True
NCT00042146,pubmed,depression,27658218,10.1016/j.brat.2016.09.002,Cognitive-behavior therapy singly and combined with medication for persistent insomnia: Impact on psychological and daytime functioning.,2016,True
NCT01283607,pubmed,depression,26965429,10.1093/humrep/dew040,e-Therapy to reduce emotional distress in women undergoing assisted reproductive technology (ART): a feasibility randomized controlled trial.,2016,True
NCT00331305,pubmed,depression,26867076,10.1097/PSY.0000000000000301,Effects of Exercise and Sertraline on Measures of Coronary Heart Disease Risk in Patients With Major Depression: Results From the SMILE-II Randomized Clinical Trial.,2016,True
NCT00720200,pubmed,depression,26378963,10.1164/rccm.201505-0900OC,Randomized Trial of Communication Facilitators to Reduce Family Distress and Intensity of End-of-Life Care.,2016,True
