dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD003218_pub3_data,10.1002/14651858.CD003218.pub3,other,6,Mean improvement in the Maintenance of Wakefulness Test | Mean improvement in the Epworth Sleepiness Scale | Mean improvement in the Multiple Sleep Latency Test | Quality of life | Proportion of participants with at least 1 adverse event,other
CD003331_pub6_data,10.1002/14651858.CD003331.pub6,cardiovascular,55,All-cause mortality up to 12 months' follow-up | All-cause mortality more than 12 months' follow-up | Hospital admissions (all-cause) up to 12 months' follow-up | Hospital admissions (all-cause) more than 12 months' follow-up | Hospital admissions (heart failure only) up to 12 months' follow-up | Hospital admissions (heart failure only) more than 12 months' follow-up | Health-related quality of life (MLWHF) up to 12 months' follow-up | Health-related quality of life (all scales) up to 12 months' follow-up | Health-related quality of life (MLWHF) more than 12 months' follow-up,cardiovascular
CD003333_pub4_data,10.1002/14651858.CD003333.pub4,"cardiovascular, respiratory, neurological",4,"All-cause mortality | Non-fatal cardiovascular events (non-fatal stroke, myocardial infarction, pulmonary embolism, peripheral arterial embolism) | Major bleeding events",cardiovascular OR respiratory OR neurological
CD003357_pub5_data,10.1002/14651858.CD003357.pub5,pregnancy,9,Live birth rate per woman | Clinical pregnancy rate per woman | Multiple pregnancy rate per woman | Miscarriage rate | Incidence of OHSS per woman | Miscarriage rate per woman,pregnancy
CD003376_pub4_data,10.1002/14651858.CD003376.pub4,gastrointestinal,26,"Clinical vertebral fractures | Non-vertebral fractures | Hip fractures | Wrist fractures | Radiographic vertebral fractures | Withdrawals due to adverse events | Serious adverse events | Gastrointestinal adverse events | Atypical femoral fractures | Treatment versus reference, secondary | Treatment versus reference, primary",gastrointestinal
CD003414_pub4_data,10.1002/14651858.CD003414.pub4,pregnancy,29,Live birth rate per woman | Miscarriage rate per woman | Ongoing pregnancy rate per woman | Clinical pregnancy rate per woman | Ectopic pregnancy rate per woman | Multiple pregnancy rate per woman | Endometrial thickness | Cycle cancellation rate per woman,pregnancy
CD003429_pub5_data,10.1002/14651858.CD003429.pub5,infection,3,Annualized joint bleeding rates | Joint function protection (number of participants with no joint damage) | Sensitivity analysis (fixed-effect model): joint function protection (number of participants with no joint damage) | Quality of life | Annualized overall bleeding rates | Radiologic joint score (Pettersson score) | Clotting factor concentrate usage  | Sensitivity analysis (fixed-effect model): clotting factor concentrate usage  | Number of clotting factor infusions (per participant per month) | Adverse events,infection
CD003451_pub3_data,10.1002/14651858.CD003451.pub3,other,28,Overjet | ANB | Wits | Piers-Harris self-concept scale | Oral Aesthetic Subjective Impact Score (OASIS) | Need for surgery in adulthood (6-year follow-up) | Wits appraisal | A-NPerp,other
CD003477_pub5_data,10.1002/14651858.CD003477.pub5,mental_health,28,Emotional well-being including quality of life | Mood disturbance or negative affect: depression | Mood disturbance or negative affect: anxiety | Behaviour problems: agitation or aggression | Behaviour problems: overall | Social behaviour | Cognition | Behavioural problems: agitation or aggression | Behavioural problems: overall | Music-based therapeutic interventions versus usual care for behaviour problems: agitation or aggression at end of treatment; subgroup analysis: individual therapy versus group therapy,mental_health
CD003511_pub6_data,10.1002/14651858.CD003511.pub6,pregnancy,8,Miscarriage (all trials) | Miscarriage (placebo-controlled trials only) | Miscarriage (women with previous recurrent miscarriage only) | Miscarriage (by route of administration versus placebo) | Live birth rate | Preterm birth | Neonatal death | Fetal genital abnormalities/virilization | Stillbirth,pregnancy
