dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD014935_pub2_data,10.1002/14651858.CD014935.pub2,other,4,All-cause mortality | All-cause mortality - Sensitivity analysis (best-case scenario) | All-cause mortality - Sensitivity analysis (worst-case scenario) | Serious adverse events | Serious adverse events - Sensitivity Analysis (fixed-effect model) | Serious adverse events - Sensitivity Analysis (best-case scenario) | Serious adverse events - Sensitivity Analysis (worst-case scenario) | Non-serious adverse events | Days of hospitalisation | Days of hospitalisation - Sensitivity analysis (fixed-effect model) | Jarisch-Herxheimer reaction,other
CD014937_pub2_data,10.1002/14651858.CD014937.pub2,"cardiovascular, renal",60,"Acute kidney injury | Any use of kidney replacement therapy | Death | Permanent dialysis | Adverse events | Changes in serum creatinine within 30 days (mg/dL] | Urinary output | Sensitivity analysis: acute kidney injury (low overall risk of bias) | Sensitivity analysis: acute kidney injury (overall risk of bias 'some concerns' or 'low') | Sensitivity analysis: acute kidney injury (placebo-controlled studies) | Sensitivity analysis: acute kidney injury (excluding kidney transplantation) | Subgroup analysis: acute kidney injury by population | Subgroup analysis: acute kidney injury by type of diuretic | Subgroup analysis: acute kidney injury by definition | Subgroup analysis: acute kidney injury by age | Sensitivity analysis: any use of KRT (only studies with a """"low"""" overall risk of bias) | Sensitivity analysis: any use of KRT (only studies with """"some concerns""""  or a """"low"""" overall risk of bias) | Sensitivity analysis: any use of KRT (placebo-controlled studies) | Sensitivity analysis: any use of KRT (excluding kidney transplantation) | Subgroup analysis: any use of KRT by population | Subgroup analysis: any use of KRT by type of diuretic | Subgroup analysis: any use of KRT by age | Sensitivity analysis: any use of KRT (studies with """"some concerns"""" or a """"low"""" overall risk of bias)",cardiovascular OR renal
CD014941_pub2_data,10.1002/14651858.CD014941.pub2,other,2,"50% responder rate | Seizure freedom | Any adverse event |  ≥ 75% seizure reduction/month during the maintenance treatment period compared to baseline | ≥ 90% seizure reduction/month during the maintenance treatment period compared to baseline | Withdrawal from the study due to adverse events | Withdrawal rate | Any treatment-related adverse events | Any serious adverse event | Cenobamate versus placebo - subgroup analysis, 50% responder rate | Cenobamate versus placebo - subgroup analysis, seizure freedom | Cenobamate versus placebo - subgroup analysis, any adverse event | Cenobamate versus placebo - subgroup analysis, ≥ 75% seizure reduction/month during the maintenance treatment period compared to baseline | Cenobamate versus placebo - subgroup analysis, ≥ 90% seizure reduction/month during the maintenance treatment period compared to baseline | Cenobamate versus placebo - subgroup analysis, withdrawal from the study due to adverse events | Cenobamate versus placebo - subgroup analysis, withdrawal rate | Cenobamate versus placebo - subgroup analysis, any treatment-related adverse events | Cenobamate versus placebo - subgroup analysis, any serious adverse event | Cenobamate versus placebo - sensitivity analysis, 50% responder rate (random-effects model) | Cenobamate versus placebo - sensitivity analysis, seizure freedom (random-effects model) | Cenobamate versus placebo - sensitivity analysis, any adverse event (random-effects model) ",other
CD014944_pub2_data,10.1002/14651858.CD014944.pub2,"mental_health, gastrointestinal",4,"Proportion of participants without treatment success at the longest follow-up (1–4 years) | Proportion of participants with serious adverse events (pancreatitis, at 1 year) | Health-related quality of life (measured with SF-36 Physical scale at 1 year) | Health-related quality of life (measured with SF-36 Mental scale at 1 year) | Proportion of participants without improvement in liver function tests | Proportion of participants with serious adverse events (recurrent common bile duct stones, at 1 year) | Proportion of participants without treatment success (at 1 year) | Risk of bias. Proportion of participants without treatment success at the longest follow-up (1–4 years) | Best-worst case scenario analysis | Worst-best case scenario analysis",mental_health OR gastrointestinal
CD014959_pub2_data,10.1002/14651858.CD014959.pub2,other,5,All-cause mortality | Proportion of people with laboratory-confirmed leptospirosis regardless of the presence of an identified clinical syndrome (inclusive of asymptomatic cases)  | Sensitivity analysis: laboratory-confirmed leptospirosis (best-case scenario) | Sensitivity analysis: laboratory-confirmed leptospirosis (worst-case scenario) | Sensitivity analysis: laboratory-confirmed leptospirosis (only pre-exposure prophylaxis) | Sensitivity analysis: laboratory-confirmed leptospirosis (only postexposure prophylaxis) | Sensitivity analysis: laboratory-confirmed leptospirosis (including only endemic community) | Proportion of people with clinical diagnosis of leptospirosis regardless of the presence of laboratory confirmation  | Sensitivity analysis: clinical diagnosis of leptospirosis regardless of the presence of laboratory confirmation (best-case scenario) | Sensitivity analysis: clinical diagnosis of leptospirosis regardless of the presence of laboratory confirmation (worst-case scenario) | Proportion of people with clinical diagnosis of leptospirosis confirmed by laboratory diagnosis (exclusive of asymptomatic cases) | Sensitivity analysis: clinical diagnosis confirmed by laboratory diagnosis (best-case scenario) | Sensitivity analysis: clinical diagnosis confirmed by laboratory diagnosis (worst-case scenario) | Proportion of people with non-serious adverse events | Sensitivity analysis: non-serious adverse events (best-case scenario) | Sensitivity analysis: non-serious adverse events (worst-case scenario),other
CD014960_pub2_data,10.1002/14651858.CD014960.pub2,infection,6,All-cause mortality | Proportion of people with adverse events considered non-serious | Days of hospitalisation  | All-cause mortality (penicillin versus cefotaxime or ceftriaxone) | All-cause mortality (penicillin versus doxycycline) | All-cause mortality (cefotaxime versus doxycycline) | Serious adverse event (nosocomial infection) (penicillin versus cefotaxime) | Serious adverse event (nosocomial infection) (penicillin versus doxycycline) | Serious adverse event (nosocomial infection) (doxycycline versus cefotaxime) | Proportion of people with adverse events considered non-serious (penicillin versus cefotaxime) | Proportion of people with adverse events considered non-serious (penicillin versus doxycycline) | Proportion of people with adverse events considered non-serious (penicillin versus chloramphenicol),infection
CD014964_pub2_data,10.1002/14651858.CD014964.pub2,"pain, dermatology",64,Number of attempts until success or procedure termination | Procedure time (needling time) | Participant satisfaction during the procedure | First‐attempt success | Technical failure of neuraxial anaesthesia | Pain during the procedure | Any adverse events | Number of attempts (Difficulty of palpating landmarks) | Number of attempts (Experience of operators) | Number of attempts (Types of ultrasound guidance: preprocedural versus real‐time) | Number of attempts (Types of neuraxial anaesthesia) | Number of attempts (Definition of outcome: used 'number of insertions through the skin') | Number of attempts (Including only studies that were judged 'low risk of bias') | Number of attempts (Including only studies that reported both the mean and standard deviation) | Procedure time (Difficulty of palpating landmarks) | Procedure time (Experience of operators) | Procedure time (Types of ultrasound guidance: preprocedural versus real‐time) | Procedure time (Types of neuraxial anaesthesia) | Procedure time (Including only studies that were judged 'low risk of bias') | Procedure time (Including only studies that reported both the mean and standard deviation) | Participant satisfaction (Difficulty of palpating landmarks) | Participant satisfaction (Experience of operators) | Participant satisfaction (Types of ultrasound guidance: preprocedural versus real‐time) | Participant satisfaction (Types of neuraxial anaesthesia) | Participant satisfaction (Including only studies that were judged 'low risk of bias') | Participant satisfaction (Including only studies that reported both the mean and standard deviation) | First-attempt success (Difficulty of palpating landmarks) | First-attempt success  (Experience of operators) | First-attempt success (Types of ultrasound guidance: preprocedural versus real‐time) | First-attempt success (Types of neuraxial anaesthesia) | First-attempt success (Definition of outcome: used 'first skin insertion') | First-attempt success (Including only studies that were judged 'low risk of bias') | Technical failure (Difficulty of palpating landmarks) | Technical failure (Types of ultrasound guidance: preprocedural versus real‐time) | Technical failure (Types of neuraxial anaesthesia) | Technical failure (Including only studies that were judged 'low risk of bias') | Pain (Difficulty of palpating landmarks) | Pain (Experience of operators) | Pain (Types of neuraxial anaesthesia) | Pain (Including only studies that were judged 'low risk of bias') | Pain (Including only studies that reported both the mean and standard deviation) | Adverse events (Difficulty of palpating landmarks) | Adverse events (Experience of operators) | Adverse events (Types of ultrasound guidance: preprocedural versus real‐time) | Adverse events (Types of neuraxial anaesthesia) | Adverse events (Including only studies that were judged 'low risk of bias'),pain OR dermatology
CD014965_pub2_data,10.1002/14651858.CD014965.pub2,"diabetes, dermatology",17,Irritability | Aggression | Weight gain above clinically relevant thresholds | Weight gain as a continuous measure (in kilograms) | Extrapyramidal side effects: any extrapyramidal symptom | Obsessive-compulsive behaviours | Inappropriate speech | Metabolic side effects: triglyceride levels as a continuous measure | Metabolic side effects: triglyceride levels above clinically relevant thresholds | Metabolic side effects: total cholesterol levels as a continuous measure | Metabolic side effects: total cholesterol levels above clinically relevant thresholds | Other side effects: any adverse event | Other side effects: somnolence | Other side effects: sedation | Other side effects: headache | Other side effects: constipation | Other side effects: self-injurious behaviour | Other side effects: hypersalivation | Other side effects: tremor | Other side effects: akathisia | Other side effects: dyskinesia | Other side effects: rigidity | Other side effects: insomnia | Lethargy/withdrawal | Hyperactivity | Stereotypy | Clinical improvement | Weight gain as a continuous measure | Social-communication adaptive functioning | Irritability: posology (fixed-dose scheme versus flexible-dose scheme) | Weight gain above clinically relevant thresholds: posology (fixed-dose scheme versus flexible-dose scheme),diabetes OR dermatology
CD014966_pub2_data,10.1002/14651858.CD014966.pub2,"cancer, renal",35,Kidney graft loss | Kidney graft loss: time-to-event analysis | Kidney graft loss: female donor | Kidney graft loss: male donor | Pancreatic graft loss | Death | Cancer incidence | Rejection: acute and chronic,cancer OR renal
CD014967_pub2_data,10.1002/14651858.CD014967.pub2,"pregnancy, mental_health, neurological",18,Proportion of infants who achieve seizure control after the first loading dose of ASM | Proportion of infants who achieve seizure control after the the maximal loading dose of ASM | Mortality before hospital discharge | Requirement for mechanical ventilation | Proportion of infants who develop sedation or drowsiness | Bradycardia | Hypotension requiring volume or inotropes | Shock requiring volume or inotropes | Recurrence of seizure before hospital discharge | Proportion of infants with epilepsy post-discharge | Proportion of infants who achieve seizure control after the maximal loading dose of ASM | Proportion of infants with an abnormal background pattern in EEG during ASM treatment | Proportion of infants with an abnormal background pattern in EEG after stopping ASM | Duration of hospital stay | Proportion of infants with persistent seizures and/or requiring ASM at discharge | Proportion of infants discharged on gavage feeds | Proportion of infants with an abnormal neurological examination at discharge | Proportion of infants who develop epilepsy post discharge | Arrythmias causing circulatory disturbance | Requirement of mechanical ventilation | Proportion of infants with cognitive impairment at 18-24 months | Seizure burden during hospitalisation | Hypotension  requiring volume or inotropes | Mortality or neurodevelopmental disability at 12 months' corrected age | Neurodevelopmental disability at 12 months' corrected age | Proportion of infants with repeat seizure before hospital discharge | Mortality at 18 to 24 months | Neurodevelopmental disability at 18 to 24 months' corrected age | Abnormal background pattern in EEG after achieving  seizure control | Abnormal neurological examination at discharge | Proportion of infants who develop epilepsy post-discharge,pregnancy OR mental_health OR neurological
CD014999_pub2_data,10.1002/14651858.CD014999.pub2,other,2,"Rebleeding | Reintervention (events) | Reintervention (patients) | 30-day bleeding-related mortality | 30-day all-cause mortality | Duration of hospitalization | Rebleeding: sensitivity analysis, Forrest Ia–IIa | Reintervention (events): sensitivity analysis, Forrest Ia–IIa | Reintervention (patients): sensitivity analysis, Forrest Ia–IIa | 30-day all-cause mortality: sensitivity analysis, Forrest Ia–IIa | Duration of hospitalization: sensitivity analysis, Forrest Ia–IIa",other
CD015003_pub2_data,10.1002/14651858.CD015003.pub2,"cardiovascular, gastrointestinal, neurological",12,All-cause mortality | Non-fatal myocardial infarction | Stroke | Adverse events | Cardiovascular mortality | Post-cardiac procedure atrial fibrillation,cardiovascular OR gastrointestinal OR neurological
CD015014_pub2_data,10.1002/14651858.CD015014.pub2,"infection, mental_health, neurological",31,"ED visits (proportion of residents with at least one ED visit) | ED visits (proportion of residents with at least one ED visit): sensitivity analysis by risk of bias | ED visits (mean number of ED visits per resident) | ED visits: logarithm of rate ratio per person-time | Unplanned hospital admissions (proportion of residents with at least one unplanned hospital admission) | Unplanned hospital admissions (proportion of residents with at least one unplanned hospital admission): subgroup analysis by EPOC category | Unplanned hospital admissions (proportion of residents with at least one unplanned hospital admission): subgroup analysis by type of care provided | Unplanned hospital admissions (proportion of residents with at least one unplanned hospital admission): subgroup analysis by resident's condition | Unplanned hospital admissions (proportion of residents with at least one unplanned hospital admission): sensitivity analysis by risk of bias | Unplanned hospital admissions (proportion of residents with at least one unplanned hospital admission): sensitivity analysis by timing of effect | Unplanned hospital admissions (mean number of unplanned hospital admissions per resident) | Unplanned hospital admissions (logarithm of rate ratio) | Adverse events/falls (proportion of residents with a fall) | Adverse events/falls (proportion of residents with a fall): subgroup analysis by type of care provided | Adverse events/falls (proportion of residents with a fall): sensitivity analysis by risk of bias | Adverse events/falls (proportion of residents with a fall): sensitivity analysis by timing of effects | Adverse events/falls (mean number of falls per resident) | Adverse events/falls (logarithm of rate ratio) | Adverse events/injurious falls (proportion of residents with an injurious fall) | Adverse events/injurious falls (mean number of injurious falls per resident) | Adverse events/infections (proportion of residents with an infection) | Adherence to clinical guideline-recommended care (proportion of residents with adequate antidepressant therapy) | Adherence to clinical guideline-recommended care (proportion of residents with adequate antidepressant therapy, two intervention arms combined) | Adherence to clinical guideline-recommended care (proportion of residents with adequate antipsychotic therapy) | Adherence to clinical guideline-recommended care (proportion of residents with adequate antipsychotic therapy, two arms combined) | Adherence to clinical guideline-recommended care (proportion of residents with adequate antibiotic therapy) | Adherence to clinical guidelines (MAI) | Quality of life (standardised mean difference) | Quality of life (standardised mean difference): sensitivity analysis by risk of bias | Quality of life (standardised mean difference): sensitivity analysis by timing of effect | Quality of life (no meta-analysis, calculations for individual studies) | Mortality (proportion of residents who died) | Mortality (proportion of residents who died): sensitivity analyses by risk of bias | Mortality (proportion of residents who died): sensitivity analysis by timing of effect | Any hospital admission (proportion of residents with at least one hospital admission) | Any hospital admission (proportion of residents with at least one hospital admission): sensitivity analysis by risk of bias | Any hospital admission (proportion of residents with at least one hospital admission): sensitivity by timing of effect | Any hospital admission (mean number of hospital admissions per resident) | Any hospital admission (logarithm of rate ratio) | Length of hospital stay (mean number of days per resident) | Length of hospital stay (mean number of days per resident): subgroup analysis by type of care provided | Length of hospital stay (mean number of days per resident): sensitivity analysis by risk of bias | Length of hospital stay (mean number of days per resident): sensitivity analysis by timing of effect | Length of hospital stay (mean number of days per resident): no meta-analysis, calculations for individual studies  | Length of hospital stay (mean number of days per admission/admitted resident)  | Residents’ satisfaction with the health care received (mean satisfaction score) | Proportion of residents’ satisfied with the health care received  | 'Next of kin' satisfaction with the health care received",infection OR mental_health OR neurological
CD015033_pub2_data,10.1002/14651858.CD015033.pub2,"mental_health, gastrointestinal",15,"All-cause mortality (range from18 months to 24 months) | All-cause mortality. Best-worst case scenario sensitivity analysis | All-cause mortality. Worst-best case scenario sensitivity analysis | Serious adverse events (24 months) | Serious adverse events. Best-worst case scenario sensitivity analysis | Serious adverse events. Worst-best case scenario sensitivity analysis | Health-related quality of life (physical health, 24 months) | Health-related quality of life (psychosocial health, 24 months) | Non-serious adverse events (number of events, 24 months) | Non-serious averse events. Best-worst case scenario sensitivity analysis | Non-serious averse events. Worst-best case scenario sensitivity analysis | Liver enzyme levels. Serum ALT levels (range from 2 months to 24 months) | Liver enzyme levels. Serum AST levels (range from 2 months to 24 months) | Liver enzyme levels. Serum ALP levels (range from 2 months to 24 months) | Liver enzyme levels. Serum GGT levels (range from 12 months to 24 months) | Imaging response. No-improvement in steatosis on ultrasound (range from 5 months to 12 months) | Imaging response. No-improvement in steatosis on ultrasound. Best-worst case scenario sensitivity analysis | Imaging response. No-improvement in steatosis on ultrasound. Worst-best case scenario sensitivity analysis | Imaging response. Proportion of participants without a normal ultrasound (range from 5 months to 12 months) | Imaging response. Proportion of participants without a normal ultrasound. Best-worst case scenario sensitivity analysis | Imaging response. Proportion of participants without a normal ultrasound. Worst-best case scenario sensitivity analysis | Liver enzyme levels. Serum ALT levels (range from 6 months to 12 months) | Liver enzyme levels. Serum AST levels (12 months) | Liver enzyme levels. Serum GGT levels (12 months) | Imaging response. No-improvements in steatosis on ultrasound (12 months) | Imaging response. No-improvements in steatosis on ultrasound. Best-worst case scenario sensitivity analysis | Imaging response. No-improvements in steatosis on ultrasound. Worst-best case scenario sensitivity analysis | Imaging response. Proportion of participants without a normal ultrasound (12 months) | Serum ALT levels (for treatment time) | Serum ALT levels (for daily dosage) | Serum ALT levels (for profit support) | Serum AST levels (for treatment time) | Serum AST levels (for daily dosage) | Serum AST levels (for profit support)",mental_health OR gastrointestinal
CD015038_pub2_data,10.1002/14651858.CD015038.pub2,"infection, pain",13,Mortality | Success of treatment | Clostridium difficile diarrhoea | Wound infection | Pneumonia | Venous thromboembolism | Intra-abdominal abscess or collection | Ileus | Reoperation | Complicated appendicitis at surgery | Pain score (acute) | Pain score (chronic) | Length of hospital stay | Period of sick leave | Negative appendectomy rate (normal histology) | Postoperative quality of life,infection OR pain
CD015040_pub2_data,10.1002/14651858.CD015040.pub2,mental_health,6,"PTSD symptom severity: immediately after treatment, SMD (ITT, endpoint) | PTSD symptom severity: immediately after treatment, SMD (ITT, endpoint; with data imputation) | PTSD symptom severity: change from baseline to immediately after treatment, SMD (ITT, with data imputation) | PTSD symptom severity: immediately after treatment, SMD (per-protocol, endpoint) | Stimulation frequency: low versus high frequency | Combination treatment status: rTMS alone versus rTMS paired with exposure/psychotherapy | PTSD symptom severity: change from baseline to 4 to 12 weeks after treatment (ITT) | Depression severity: immediately after treatment, SMD (ITT, endpoint) | Depression severity: immediately after treatment, SMD (ITT, endpoint, with data imputation) | Depression severity: change from baseline to immediately after treatment, SMD (ITT, with data imputation) | Anxiety severity: immediately after treatment, SMD (ITT, endpoint) | Anxiety severity: change from baseline to immediately after treatment, SMD (ITT, with data imputation)",mental_health
CD015042_pub2_data,10.1002/14651858.CD015042.pub2,other,7,Number of continuously abstinent women | Number of drinks per day | Number of women who completed treatment,other
CD015046_pub2_data,10.1002/14651858.CD015046.pub2,"hypertension, mental_health, neurological",4,Adverse events&nbsp; | Change in severity of ICBs&nbsp; | Adverse events - dizziness&nbsp; | Adverse events - nausea | Adverse events - headache&nbsp; | Adverse events - blood pressure changes&nbsp; | Change in frequency of ICBs&nbsp; | Change in severity of ICBs | Change in quality of life | Change in neuropsychiatric symptoms - depression | Change in neuropsychiatric symptoms - anxiety | Adverse events - sleepiness | Adverse events - fall (without orthostatic hypotension) | Adverse events - orthostatic hypotension | Adverse events - restless legs syndrome | Adverse events - fatigue&nbsp; | Adverse events - asymptomatic bradycardia (51 to 59 bpm),hypertension OR mental_health OR neurological
CD015060_pub2_data,10.1002/14651858.CD015060.pub2,renal,12,Proteinuria: > 50% increase from baseline | eGFR: ≥ 60% decline from baseline at 3 years | Haematuria resolution | Proteinuria: ≥ 50% increase from baseline or ≥ 1 g/d | Final proteinuria  | Proteinuria: > 1 g/d | eGFR decline or kidney failure | Worsening proteinuria: > 1 g/1.73 m2/d | Final proteinuria | eGFR: ≥ 50% decline from baseline | Final GFR | Proteinuria change  | eGFR change | Proteinuria improvement  | eGFR at end of treatment | Proteinuria at end of treatment | Worsening proteinuria: > 50% increase from baseline | eGFR: > 50% decline from baseline | Proteinuria remission  | Final proteinuria,renal
CD015064_pub2_data,10.1002/14651858.CD015064.pub2,other,11,Pimecrolimus 1% versus vehicle | Topical corticosteroids versus topical calcineurin inhibitors,other
CD015066_pub2_data,10.1002/14651858.CD015066.pub2,other,3,"Personal attenuation rating (PAR; dB) (immediate, short-term, long-term) | Personal attenuation rating (PAR; dB) (immediate) | Earplugs, PAR pass rate (%) (immediate)",other
CD015083_pub2_data,10.1002/14651858.CD015083.pub2,"hypertension, pain, gastrointestinal, neurological",55,"Referral for or receipt of any lumbar spine imaging at last follow-up within 12 months | Prescription or use of opioid medication at last follow-up within 12 months | Referral to surgeon or lumbar spine surgery at last follow-up within 12 months | Admission to hospital for non-specific LBP at last follow-up within 12 months | Pain at last follow-up within 12 months | Back-related function at last follow-up within 12 months | Adverse events at last follow-up within 12 months | Referral for or receipt of advanced lumbar spine imaging at last follow-up within 12 months | Prescription or use of anti-epileptics, benzodiazepines, or muscle relaxants at last follow-up within 12 months | Referral or use of any injection to the lumbar spine at last follow-up within 12 months | Health-related quality of life at last follow-up within 12 months | Participant satisfaction with care at last follow-up within 12 months | Referral for or receipt of any lumbar spine imaging | Prescription or use of opioid medication | Referral to surgeon or lumbar spine surgery | Admission to hospital for non-specific LBP | Pain | Back-related function | Adverse events | Referral for or receipt of advanced lumbar spine imaging | Prescription or use of anti-epileptics, benzodiazepines, or muscle relaxants | Referral or use of any injection to the lumbar spine | Health-related quality of life | Participant satisfaction with care | Referral for or receipt of any lumbar spin imaging at last follow-up within 12 months | Back-related function at last follow-up within 12 months  | Prescription or use of anti-epileptic, benzodiazepines, or muscle relaxants at last follow-up within 12 months | Referral or receipt of any lumbar spine imaging at last follow-up within 12 months | Referral to a surgeon or lumbar spine surgery at last follow-up within 12 months | Referral for or use of any injection to the lumbar spine at last follow-up within 12 months | Patient satisfaction with care at last follow-up within 12 months",hypertension OR pain OR gastrointestinal OR neurological
CD015084_pub2_data,10.1002/14651858.CD015084.pub2,"gastrointestinal, renal",7,Clinical remission | Disease improvement: clinical activity scale (Rachmilewitz index) | Disease improvement: biochemical markers of inflammation (faecal calprotectin) | Disease improvement: biochemical markers of inflammation (IL-8 in rectal dialysis fluid) | Disease improvement: biochemical markers of inflammation (PGE-2 in rectal dialysis fluid) | Withdrawals due to adverse events | Disease improvement: clinical activity scale (Mayo score) | Number of adverse events | Disease improvement: clinical activity scale (Lichtiger index) | Disease improvement: biochemical markers of inflammation (serum CRP) | Clinical relapse | Disease improvement: clinical activity scale (partial Mayo score) | Disease improvement: quality of life score (IBDQ) | Disease improvement: quality of life score (bowel component of IBDQ) | Disease improvement: quality of life score (systemic component of IBDQ) | Disease improvement: quality of life score (emotional component of IBDQ) | Disease improvement: quality of life score (social component of IBDQ),gastrointestinal OR renal
CD015087_pub2_data,10.1002/14651858.CD015087.pub2,pain,26,Adverse events | Pain intensity as reported by a third party (0 to 2 hours) | Pain intensity as reported by a third party (2 to 24 hours) | Pain intensity as reported by a third party (1 to 7 days) | Opioid consumption (2 to 24 hours) | Opioid consumption (1 to 7 days) | Nausea and/or vomiting | Any bleeding | Requiring rescue medication (0 to 2 hours) | Requiring rescue medication (2 to 24 hours) | Time to rescue medication reported by a third party | Nausea and/or vomiting - risk difference analysis | Any bleeding - risk difference analysis | Pain intensity reported by the child (0 to 2 hours) | Pain intensity reported by the child (2 to 24 hours) | Serious adverse events | Requiring rescue medication (1 to 7 days) | Return to activities of daily living | Pain intensity reported by a third party (0 to 2 hours) | Pain intensity reported by a third party (2 to 24 hours) | Pain intensity reported by the child (1 to 7 days),pain
CD015101_data,10.1002/14651858.CD015101,other,5,All symptoms | GSS | VAS (symptoms) | BCTQ (SSS) | All function | VAS (function) | BCTQ (FSS) | Median DML | Median SCV | Quality of life | Adverse events,other
CD015112_pub3_data,10.1002/14651858.CD015112.pub3,infection,1,Rates of symptomatic PCR-positive SARS‐CoV‐2 infection | Rates of any positive PCR SARS‐CoV‐2 infection | Absenteeism,infection
CD015120_pub2_data,10.1002/14651858.CD015120.pub2,other,46,Smoking cessation | Smoking cessation (lozenge comparator) | Smoking cessation (patch comparator),other
CD015122_pub2_data,10.1002/14651858.CD015122.pub2,other,11,Blood transfusion | Stone-free rate | Thromboembolic events | Adverse events | Secondary interventions | Major Surgical complications | Minor surgical complications | Unplanned hospitalizations or readmissions | Hospital length of stay (days) | Blood transfusion (Sensitivity analysis & Risk of bias) | Stone-free rate (Sensitivity analysis & Risk of bias) | Thromboembolic events (Sensitivity analysis & Risk of bias) | Secondary interventions (Sensitivity analysis & Risk of bias) | Major surgical Complications (Sensitivity analysis & Risk of bias) | Minor Surgical complications (Sensitivity analysis & Risk of bias) | Unplanned hospitalizations or readmissions (Sensitivity analysis & Risk of bias) | Hospital length ofsStay (days) (Sensitivity analysis & Risk of bias) | Blood transfusion (Sensitivity analysis & definition of stone freedom) | Stone-free rate (Sensitivity analysis & definition of stone freedom) | Thromboembolic events (Sensitivity analysis & definition of stone freedom) | Adverse Eeents (Sensitivity analysis & definition of stone freedom) | Secondary interventions (Sensitivity analysis & definition of stone freedom) | Major surgical complications (Sensitivity analysis & definition of stone freedom) | Minor surgical complications (Sensitivity analysis & definition of stone freedom) | Unplanned hospitalizations or readmissions (Sensitivity analysis & definition of stone freedom) | Hospital length of stay (days) (Sensitivity analysis & definition of Stone freedom) | Adverse event | Major surgical complications,other
CD015123_pub2_data,10.1002/14651858.CD015123.pub2,other,5,Time to first relapse | Time to sustained disability progression | Number of participants with at least one SAE | Number of participants with at least one SAE (sensitivity analysis: MS relapses excluded)  | Quality of life: PCS in SF-36 | Quality of life: MCS in SF-36 | Number of participants with new or enlarging T2-weighted MRI lesions | Number of participants with Gd+ T1-weighted MRI lesions | Number of participants experiencing treatment discontinuation caused by AE | Number of participants with at least one AE | Number of participants with new Gd+ T1-weighted MRI lesions | Number of participants who experienced at least one relapse | Number of participants with sustained disability that worsened during the study | Quality of life: MSIS-29 physical score,other
CD015124_pub2_data,10.1002/14651858.CD015124.pub2,cancer,7,Assessment of prognostic factors around breast cancer diagnosis,cancer
CD015134_pub2_data,10.1002/14651858.CD015134.pub2,pregnancy,6,Infant hospitalisation with laboratory-confirmed RSV disease | Intrauterine growth restriction | Stillbirth | Maternal death | Preterm birth | Congenital abnormalities | Infant death,pregnancy
CD015140_pub2_data,10.1002/14651858.CD015140.pub2,"mental_health, pain",9,"Overall survival (OS) - fixed-effect model | Overall survival (OS) - random-effects model | Disease-free survival (DFS) - fixed-effect model | Disease-free survival (DFS) - random-effects model | Disease-free survival (DFS) in stage IB | Adverse events ≥ grade 3 | Adverse events grades 1 and 2 | Health-related quality of life (HRQoL) - mixed model of repeated measures (MMRM) of mean change from baseline up to Week 96 in SF-36 PCS, MCS, and health domain scores | Health-related quality of life (HRQoL) - time to deterioration (TTD) analysis from baseline up to Week 96 of the SF-36 PCS, MCS, and health domain scores | Risk of relapse in drug-off time - fixed-effect model | Risk of relapse in drug-off time - random-effects model | Risk of relapse in drug-on time - fixed-effect model | Risk of relapse in drug-on time - random-effects model | Risk of brain relapse | Overall survival (OS) | Overall survival (OS) by EGFR type mutation | Overall survival (OS) by age | Overall survival (OS) by smoking status | Overall survival (OS) by gender | Disease-free survival (DFS) | Disease-free survival (DFS) by EGFR type mutation | Disease-free survival (DFS) by stage | Disease-free survival (DFS) by age | Disease-free survival (DFS) by smoking status | Disease-free survival (DFS) by gender | Health-related quality of life (HRQoL) - FACT-L | Health-related quality of life (HRQoL) - LCSS | Risk of relapse in drug-off time | Risk of relapse in drug-on time",mental_health OR pain
CD015145_pub2_data,10.1002/14651858.CD015145.pub2,pain,20,Postoperative pain (VAS) 24 hours | Nausea and vomiting | Opioid use (MME) 0 to 24 hours after surgery | Opioid use (MME) 0 to 48 hours after surgery | Postoperative pain score (VAS) 2 hours | Postoperative pain score (VAS) 6 hours | Postoperative pain score (VAS) 12 hours | Postoperative pain score (VAS) 48 hours | Time to discharge (hours) | Postoperative pain score (VAS) 24 hours (surgery covariate) | Postoperative pain score (VAS) 24 hours (technique covariate) | Postoperative pain score (VAS) 24 hours (approach) | Postoperative pain score (VAS) 24 hours (timing covariate) | Postoperative pain score (VAS) 24 hours (formulation) | Postoperative pain score (VAS) 24 hours (adjuvant) | Postoperative pain score (VAS) 24 hours (control pain score) | Postoperative pain score (VAS) during movement 24 hrs | Time to first postoperative opioid (minutes) | Postoperative pain score (VAS) 24 hours (surgery) | Postoperative pain score (VAS) 24 hours (technique) | Postoperative pain score (VAS) 24 hours (timing) | Postoperative pain score (VAS) at rest 24 hours | Postoperative pain score (VAS) during movement 24 hours | Sedation | Postoperative pain score (VAS) at rest 2 hours | Postoperative pain score (VAS) at rest 6 hours | Postoperative pain score (VAS) during movement 2 hours | Postoperative pain score (VAS) during movement 6 hours,pain
